GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS559039251	2018-12-11 14:45:18.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2015-03-22		obsr761571	S38521045	Historical	P62	EBIRD					1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS314087401	2018-08-03 06:42:31.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			150				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32	USFWS_608		Don Edwards NWR (ALA Co.)	L500360	H	37.5316305	-122.0733619	2015-04-29	09:37:00	obsr533369	S23127702	Traveling	P22	EBIRD	40	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS314166750	2018-08-03 06:42:35.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32	USFWS_608		Don Edwards NWR (ALA Co.)	L500360	H	37.5316305	-122.0733619	2015-04-29	14:41:00	obsr171359	S23132540	Traveling	P22	EBIRD	75	3.219		1	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8		
URN:CornellLabOfOrnithology:EBIRD:OBS310707324	2018-08-03 06:38:10.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32	USFWS_608		Don Edwards NWR (ALA Co.)	L500360	H	37.5316305	-122.0733619	2015-04-17	10:45:00	obsr276807	S22910573	Traveling	P22	EBIRD	30	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS559251266	2018-08-03 06:40:56.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			25				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2015-04-25		obsr761571	S38527437	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS559234803	2018-08-03 06:36:47.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			3				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2015-04-12		obsr761571	S38527280	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS313816598	2018-08-03 06:42:07.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			40				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32	USFWS_608		Don Edwards NWR (ALA Co.)	L500360	H	37.5316305	-122.0733619	2015-04-27	16:45:00	obsr297774	S23110831	Traveling	P22	EBIRD	105	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS313467401	2018-08-03 06:41:48.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			30				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32	USFWS_608		Don Edwards NWR (ALA Co.)	L500360	H	37.5316305	-122.0733619	2015-04-26	13:00:00	obsr388759	S23088862	Traveling	P22	EBIRD	35	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS314522679	2018-08-03 06:42:49.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			150				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32	USFWS_608		Don Edwards NWR (ALA Co.)	L500360	H	37.5316305	-122.0733619	2015-04-30	17:30:00	obsr297774	S23154757	Traveling	P22	EBIRD	90	4.023		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS455720496	2017-01-08 22:51:02.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			3				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--Hayward Marsh	L2220366	H	37.6298244	-122.138958	2015-04-26	14:30:00	obsr355579	S33553811	Traveling	P22	EBIRD	90	3.219		18	1		0	1	0				
