GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS374247082	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2015-04-25	16:00:00	obsr461273	S27588108	Traveling	P22	EBIRD	30	1.609		4	1		0	1	0		SCVAS Birdathon		
URN:CornellLabOfOrnithology:EBIRD:OBS310106409	2018-11-27 11:44:35.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			5				United States	US	California	US-CA	Santa Clara	US-CA-085	US-CA_154	32	USFWS_608		Don Edwards NWR (SCL Co.) (please use a more specific hotspot where possible)	L231517	H	37.4541093	-121.974181	2015-04-14	09:09:00	obsr201587	S22859861	Incidental	P20	EBIRD				2	0	G1231572	0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8	A12, NW corner with EAGR	
URN:CornellLabOfOrnithology:EBIRD:OBS312097989	2018-11-27 11:44:35.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			5				United States	US	California	US-CA	Santa Clara	US-CA-085	US-CA_154	32	USFWS_608		Don Edwards NWR (SCL Co.) (please use a more specific hotspot where possible)	L231517	H	37.4541093	-121.974181	2015-04-14	09:09:00	obsr440664	S22999959	Incidental	P20	EBIRD				2	0	G1231572	0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8	A12, NW corner with EAGR	
URN:CornellLabOfOrnithology:EBIRD:OBS313036483	2018-08-03 06:41:25.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Vasona Lake County Park	L210223	H	37.2385116	-121.9709873	2015-04-25	15:45:00	obsr287371	S23062246	Incidental	P20	EBIRD				1	0		0	1	0		<br />Submitted from BirdLog World for iOS, version 1.8	100m north of pier heading west towards rock embankment.	
URN:CornellLabOfOrnithology:EBIRD:OBS314527641	2019-01-26 00:05:04.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			X				United States	US	California	US-CA	Santa Clara	US-CA-085	US-CA_154	32	USFWS_608		Salt Pond A12	L776555	H	37.4337723	-121.9832611	2015-04-30	19:20:00	obsr602491	S23155071	Traveling	P22	EBIRD	40	1.931		1	1		1	1	0		out and back		
URN:CornellLabOfOrnithology:EBIRD:OBS313688561	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			5				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2015-04-27	15:15:00	obsr533369	S23102550	Traveling	P22	EBIRD	100	4.828		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS313085601	2019-05-15 16:32:34.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			75				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2015-04-26	05:40:00	obsr171359	S23065304	Traveling	P22	EBIRD	127	1.609		1	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8		
URN:CornellLabOfOrnithology:EBIRD:OBS309120046	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			6				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2015-04-11	08:15:00	obsr293948	S22802104	Traveling	P22	EBIRD	188	14.001		1	1		1	1	0		Alviso Slough Trail via A13/A14/A15 levee <br />Submitted from BirdLog NA for iOS, version 1.8	Eastern end of A15, seen from A13/A15 levee.	
URN:CornellLabOfOrnithology:EBIRD:OBS319724239	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			4				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2015-05-14	16:59:00	obsr263917	S23448313	Traveling	P22	EBIRD	53	0.483		1	1		0	1	0		Submitted from  BirdLog NA for Android v1.9.6	<a href="http://www.kittiwakenaturephotography.com/p412906218/e465ae43b" title="Red-necked Phalarope"><img src="http://www.kittiwakenaturephotography.com/img/s7/v164/p1180361787-2.jpg" alt="Kittiwake Nature Photography: All Other Phalaropes &emdash; Red-necked Phalarope" /></a>	
URN:CornellLabOfOrnithology:EBIRD:OBS319474668	2019-01-26 00:09:19.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085	US-CA_154	32	USFWS_608		Salt Pond A12	L776555	H	37.4337723	-121.9832611	2015-05-11	19:10:00	obsr602491	S23433973	Traveling	P22	EBIRD	40	0.805		1	1		1	1	0		out & back		
